iter	Passed	Remaining
0	4	13634
1	8	12814
2	13	13062
3	17	13290
4	22	13603
5	28	13995
6	32	13919
7	37	13992
8	41	13894
9	46	13836
10	51	13876
11	55	13900
12	60	13836
13	65	13881
14	69	13870
15	74	13844
16	78	13853
17	83	13878
18	88	13834
19	96	14363
20	101	14450
21	108	14745
22	114	14850
23	120	14928
24	124	14872
25	129	14809
26	133	14736
27	138	14685
28	143	14652
29	147	14602
30	152	14565
31	156	14549
32	161	14511
33	165	14463
34	170	14424
35	174	14403
36	179	14381
37	185	14425
38	190	14449
39	195	14465
40	200	14479
41	206	14508
42	210	14484
43	215	14468
44	221	14512
45	226	14529
46	230	14503
47	235	14499
48	240	14498
49	245	14494
50	250	14505
51	255	14492
52	260	14486
53	265	14504
54	270	14495
55	275	14470
56	280	14466
57	285	14462
58	289	14452
59	294	14450
60	299	14443
61	304	14419
62	309	14427
63	314	14417
64	319	14414
65	324	14420
66	329	14426
67	334	14412
68	339	14418
69	344	14413
70	349	14419
71	354	14414
72	359	14415
73	364	14409
74	369	14406
75	374	14408
76	379	14410
77	384	14415
78	389	14406
79	394	14406
80	399	14405
81	404	14401
82	409	14390
83	414	14393
84	419	14385
85	424	14381
86	429	14395
87	434	14390
88	439	14381
89	444	14386
90	450	14386
91	454	14381
92	459	14375
93	465	14387
94	470	14377
95	475	14378
96	480	14376
97	485	14365
98	490	14358
99	495	14358
100	500	14371
101	506	14384
102	511	14385
103	516	14392
104	521	14387
105	526	14385
106	531	14375
107	536	14378
108	541	14373
109	546	14365
110	551	14363
111	557	14368
112	562	14365
113	567	14362
114	572	14358
115	577	14357
116	582	14348
117	587	14337
118	591	14324
119	596	14309
120	601	14300
121	606	14295
122	610	14286
123	615	14273
124	619	14259
125	624	14248
126	629	14244
127	634	14229
128	639	14223
129	643	14210
130	648	14198
131	652	14187
132	657	14173
133	662	14162
134	666	14149
135	671	14132
136	675	14124
137	680	14110
138	684	14096
139	689	14085
140	694	14075
141	698	14060
142	703	14048
143	707	14041
144	712	14031
145	717	14020
146	721	14012
147	726	14000
148	731	13991
149	736	13987
150	740	13977
151	745	13962
152	749	13954
153	754	13946
154	759	13932
155	763	13926
156	768	13917
157	772	13902
158	777	13891
159	782	13885
160	787	13880
161	791	13866
162	796	13858
163	800	13844
164	805	13831
165	809	13822
166	814	13810
167	818	13798
168	822	13782
